,A,Q,Context,len_Context,label
2185,"What the... Oh, I don't know... a little show called ""Doctor Quinn, Medicine Woman""?! Where you going?",What's so special about it?,"""Mrs. Simpson, while we were rescuing your husband, a lumberyard burned down."" I'm disappointed in you, but it turns out I had a wonderful time with Ruth Powers. In fact, we're going out again tomorrow night. Heh, heh. Oh Marge, we should do this every Thursday. What's so special about it?",4.0,1.0
2186,When will you be home?,I don't know.,"I'm disappointed in you, but it turns out I had a wonderful time with Ruth Powers. In fact, we're going out again tomorrow night. Heh, heh. Oh Marge, we should do this every Thursday. What's so special about it? I don't know.",4.0,1.0
2187,Where you going?,I'm not sure.,"Heh, heh. Oh Marge, we should do this every Thursday. What's so special about it? I don't know. I'm not sure.",4.0,1.0
2188,Will you bring me back something?,You already asked me that.,What's so special about it? I don't know. I'm not sure. You already asked me that.,4.0,1.0
2189,"How can you do this, Marge? How can you desert your children?",Don't wait up.,I don't know. I'm not sure. You already asked me that. Don't wait up.,4.0,1.0
2190,"Man's best friend, indeed.",Rock the Casbah!,I'm not sure. You already asked me that. Don't wait up. Rock the Casbah!,4.0,1.0
2196,We pay eight dollars for the night and you can take two Popsicles out of the freezer.,"Mr. Simpson. I was just going through your garbage and I couldn't help overhearing that you need a baby-sitter. Of course being a highly skilled attorney, my fee is one hundred and seventy-five dollars an hour.","Hey, Dad, I think state and federal laws require us to have a baby-sitter. You're absolutely right, Homer. We don't need a baby-sitter. Blast that infernal card! Don't give that card to me. Mr. Simpson. I was just going through your garbage and I couldn't help overhearing that you need a baby-sitter. Of course being a highly skilled attorney, my fee is one hundred and seventy-five dollars an hour.",4.0,1.0
2197,Two.,Three.,"You're absolutely right, Homer. We don't need a baby-sitter. Blast that infernal card! Don't give that card to me. Mr. Simpson. I was just going through your garbage and I couldn't help overhearing that you need a baby-sitter. Of course being a highly skilled attorney, my fee is one hundred and seventy-five dollars an hour. Three.",4.0,1.0
2198,Done.,"Okay, two. And I get to keep this old bird cage.","Blast that infernal card! Don't give that card to me. Mr. Simpson. I was just going through your garbage and I couldn't help overhearing that you need a baby-sitter. Of course being a highly skilled attorney, my fee is one hundred and seventy-five dollars an hour. Three. Okay, two. And I get to keep this old bird cage.",4.0,1.0
2226,That's not fun!,I can name ten things! I... I made sloppy Joes...,Dad. Dad! You really want to get rid of this trampoline? Let's jump on the car instead. That's not true. I can name ten things! I... I made sloppy Joes...,4.0,1.0
2232,I feel validated by that.,"I'm feeling annoyance and frustration, but also tolerance.","That video really opened my eyes. I can see that I'm just a passive-aggressive co-culprit. By nagging you when you do foolish things, I just enable your life-script. Uh-oh. You're in for it now, Dad. I'm hearing that you feel a lot of shame. I'm feeling annoyance and frustration, but also tolerance.",4.0,1.0
2233,"Me too. Wow! For free, ""SURPLUS DRUMS OF MAYONNAISE FROM OPERATION DESERT STORM.""",Good. I'm glad we had this talk.,"Uh-oh. You're in for it now, Dad. I'm hearing that you feel a lot of shame. I'm feeling annoyance and frustration, but also tolerance. Good. I'm glad we had this talk.",4.0,1.0
2234,"Oh Marge, you and I are fine now. Who needs Brad Goodman?",Brad Goodman is coming to town!,"I'm hearing that you feel a lot of shame. I'm feeling annoyance and frustration, but also tolerance. Good. I'm glad we had this talk. Brad Goodman is coming to town!",4.0,1.0
2245,"Oh, I'm sorry.","Dad, sit down.","No! Self-improvement can be achieved, but not with a quick-fix. It's a long, arduous journey of personal and spiritual discovery. You tell me, Chief. You had a pretty good view from behind your desk. What does that mean, exactly? Dad, sit down.",4.0,1.0
2262,"Wrong again, Flanders. In a situation like this, you just relax and let the current take you back to land.","Paddle harder, Homer. We gotta fight the current.","I guess now we know why they call them rapids and not slow-pids, huh? Now what happened to that gosh darn map I brought? Whoa, Nelly! Oh, quick, Homer! Which way do we turn--? Paddle harder, Homer. We gotta fight the current.",4.0,1.0
2266,"Woo-hoo! See that, boy? Your old man was right, not Flanders. We are doomed! In your face, Flanders!","Wrong, we're saved! Sea gulls always stay near land. They only go out to sea to die.","Hey! I got that for my birthday! Again? Homer, we have to ration the water carefully. It's our only hope. Homer! No! Wrong, we're saved! Sea gulls always stay near land. They only go out to sea to die.",4.0,1.0
2267,"Well, since you're all such a bunch of big ration-babies, I'll just be in charge of the rationing. Observe, boy. The secret is to take tiny bites, like so:","Well, at least Ned is trying! What are you doing to help?","Again? Homer, we have to ration the water carefully. It's our only hope. Homer! No! Wrong, we're saved! Sea gulls always stay near land. They only go out to sea to die. Well, at least Ned is trying! What are you doing to help?",4.0,1.0
2268,Why couldn't I be on one of the smart rafts. I bet they're having the time of their life.,STOP IT! / STOP IT! / DAD!,"Homer! No! Wrong, we're saved! Sea gulls always stay near land. They only go out to sea to die. Well, at least Ned is trying! What are you doing to help? STOP IT! / STOP IT! / DAD!",4.0,1.0
2278,Never mind the fog! That way. Steer! There isn't much time!,"That's what you're smelling, Homer! Oh, if it weren't for this blasted fog, we'd be saved!","Dad, I know I've been a little hard on you the last couple of days. If I had the strength to lift my arms, I'd give you a hug. Dad, don't take this wrong, but your expression doesn't fill me with confidence. Hey, wait! I smell hamburgers too. That's what you're smelling, Homer! Oh, if it weren't for this blasted fog, we'd be saved!",4.0,1.0
2293,"Foul temptress! I'll bet she thinks Ziggy's gotten too preachy, too. I made it the whole day without seeing her again.","Really? I can see I'm gonna love working with you. Well, gotta go. I wanna sneak in a quick nap before lunch.","Can't talk... eating. Double glaze. Not me. That's my idea of heaven. Really? I can see I'm gonna love working with you. Well, gotta go. I wanna sneak in a quick nap before lunch.",4.0,1.0
2299,"Let's have a little quality time together, just you and me.",That raccoon stole my lamb chop.,"Hi, Hober. Dote kiss be, I'b all stuffed up. Hi, Dad. Dad, look, I made fish sticks. They're burned on the outside, but they're frozen on the inside so it balances out. That raccoon stole my lamb chop.",4.0,1.0
2300,Hey! We haven't watched TV in awhile.,Oh that's sweet. Guess what. There's a new place at the mall - they'll put your picture on a T-shirt. I got two dollars off because mine got smeared.,"Hi, Dad. Dad, look, I made fish sticks. They're burned on the outside, but they're frozen on the inside so it balances out. That raccoon stole my lamb chop. Oh that's sweet. Guess what. There's a new place at the mall - they'll put your picture on a T-shirt. I got two dollars off because mine got smeared.",4.0,1.0
2304,"Hee, hee, hee, hee. Did you know Hogan had tunnels all over your camp?",I'm not actually Col. Klink. I'm just assuming his form.,"Homer Simpson! That's a dilly of a pickle. Hey, let's conference you with Marge, huh? Homer, I'm your guardian angel. I've assumed the form of someone you would recognize and revere - Sir Isaac Newton. Oh, very well. I'm not actually Col. Klink. I'm just assuming his form.",4.0,1.0
2311,"No, Lisa, I swear to you. I'm one-hundred percent completely serious. You've got to turn around right now before it's too late.","Dad, I'm not gonna fall for that.","Dad, why are you singing? Are you hiding something from me? Judging from your song, you're infatuated with a woman named Mindy... or a man named Andy. Dad, I'm not gonna fall for that.",4.0,1.0
2312,Sucker.,Huh?,"Are you hiding something from me? Judging from your song, you're infatuated with a woman named Mindy... or a man named Andy. Dad, I'm not gonna fall for that. Huh?",4.0,1.0
2328,Yes we do. The cookie told me so.,"Oh... well, we don't have to.","Okay. This was a really nice night, Homer. What's wrong? Oh... well, we don't have to.",4.0,1.0
2329,But they're so sweet.,"Well, desserts aren't always right.","This was a really nice night, Homer. What's wrong? Oh... well, we don't have to. Well, desserts aren't always right.",4.0,1.0
2330,"Well, maybe I want to. But then I think about Marge and the kids well not the boy, he drives me nuts. Sometimes I'd just like to...","Homer, you don't have to do anything you don't want to.","What's wrong? Oh... well, we don't have to. Well, desserts aren't always right. Homer, you don't have to do anything you don't want to.",4.0,1.0
2344,"Marge, I'm taking the car.",I'll catch up to you.,"Definitely have to leave the table. Gotta watch Wapner. Leave the table. Yeah, leave the table. Ewww! I'll catch up to you.",4.0,1.0
2345,This late? Through the bad neighborhood?,I'll walk.,"Gotta watch Wapner. Leave the table. Yeah, leave the table. Ewww! I'll catch up to you. I'll walk.",4.0,1.0
2346,Marge...,Yeah.,Ewww! I'll catch up to you. I'll walk. Yeah.,4.0,1.0
2347,"Wait. I see what's happening here. You're just mad because everyone in this town loves gambling except for you. Well, that's just sad.",Go home. You're bad luck!,I'll catch up to you. I'll walk. Yeah. Go home. You're bad luck!,4.0,1.0
2354,"Oh, nothing, Marge. Just a little incident involving the Boogeyman. Of course, none of this would've happened if you'd been here to keep me from acting stupid.",What happened here?,"Mommm! I just had a bad dream. Well, I know it's absurd, but I dreamed the Boogeyman was after me and he's hiding... What happened here?",4.0,1.0
2359,"No, Lisa. The only monster here is the gambling monster that has enslaved your mother. I call him Gamblor. And it's time to snatch your mother from his neon claws.","I'm not a state, I'm a monster!","Dad, Mom said she'd be home to help me with my costume, and she's not and the Geography Pageant is tonight. But Dad, if I don't show up in a rubber suit shaped like the state of Florida, I'll be the laughing stock of the whole school. Dad! I'm not a state, I'm a monster!",4.0,1.0
2363,"Marge, I want you to admit you have a gambling problem.","Lisa's costume. Homer, I didn't realize. I'm so sorry.","Seven. Lucky seven. Homer! What is it? Slow down. Think before you say each word. What? Lisa's costume. Homer, I didn't realize. I'm so sorry.",4.0,1.0
2364,"No no, that's too expensive. Just don't do it anymore.","You know, you're right, Homer. Maybe I should get some professional help.","Homer! What is it? Slow down. Think before you say each word. What? Lisa's costume. Homer, I didn't realize. I'm so sorry. You know, you're right, Homer. Maybe I should get some professional help.",4.0,1.0
2371,"Shhh, quiet Lisa.","Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.","Wake up, Dad! Wake up! There was a burglar and he took my saxophone. And my necklace. Homer! That necklace was a priceless Bouvier family heirloom. Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",4.0,1.0
2378,"You know Lisa, music helps daddy think.",Thank you.,"And don't take candy from strangers. What's the point of all these precautions? I've already lost the only thing that matters to me. What, this jug? Thank you.",4.0,1.0
2382,"Sorry, Dad. You're too old.",I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...,"Hey, you're that drunken posse. Wow, can I join you? Yeah! Someone else! Someone else! Someone else! He's right! I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...",4.0,1.0
2383,"Aw, Dad, you've done a lot of great things, but you're a very old man now, and old people are useless. Aren't they? Aren't they? Huh? Yes they are. Yes they are...",And a fine job ye did too!,Yeah! Someone else! Someone else! Someone else! He's right! I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar... And a fine job ye did too!,4.0,1.0
2384,"Marge, we're responsible adults and...","I don't think the guns are a good idea, Homer.","He's right! I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar... And a fine job ye did too! I don't think the guns are a good idea, Homer.",4.0,1.0
2385,... and if a group of responsible adults can't handle firearms in a responsible way...,Oops.,"I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar... And a fine job ye did too! I don't think the guns are a good idea, Homer. Oops.",4.0,1.0
2390,"You know, push people around, make ourselves feel big. Bart, give me that megaphone of yours.",Meaning what exactly?,"Radiant cool crazy nightmare. Zen New Jersey nowhere. How now brown bureaucrats. Hey, see this sign? Meaning what exactly?",4.0,1.0
2391,Never mind the commercials. Just give it to me. I've got to whip this neighborhood into shape. Move along there.,"It's not just a megaphone, Dad. It's a RapMaster 2000.","How now brown bureaucrats. Hey, see this sign? Meaning what exactly? It's not just a megaphone, Dad. It's a RapMaster 2000.",4.0,1.0
2392,"Return to your homes and places of businesses! Hey you, where'd you get that saxophone?",It's Hammer!,"Hey, see this sign? Meaning what exactly? It's not just a megaphone, Dad. It's a RapMaster 2000. It's Hammer!",4.0,1.0
2393,Get him!,Sears.,"Meaning what exactly? It's not just a megaphone, Dad. It's a RapMaster 2000. It's Hammer! Sears.",4.0,1.0
2402,Uh... Marge?,"Uh, you do realize who this is...","Mr. Simpson, how do you respond to the charge that petty vandalism such as graffiti is down 80 percent, while heavy sack beatings are up a shocking 900 percent? I see. Well, what do you say to the accusation that your group has been causing more crimes than it's been preventing? Hello, Kent. Hello, Homer, my arch nemesis. Uh, you do realize who this is...",4.0,1.0
2403,Why you monster! And you have my daughter's saxophone too!,"No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen.","I see. Well, what do you say to the accusation that your group has been causing more crimes than it's been preventing? Hello, Kent. Hello, Homer, my arch nemesis. Uh, you do realize who this is... No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen.",4.0,1.0
2404,Oh sorry. I'm a little nervous.,"Homer, that's our stage manager!","Hello, Kent. Hello, Homer, my arch nemesis. Uh, you do realize who this is... No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen. Homer, that's our stage manager!",4.0,1.0
2405,"Listen, Mr. Cat Burglar, I vow to go without sleep and guard the Springfield museum day and night for as long as it takes, from now on unless you want to taunt me more by giving me an approximate time. We'll be right back.","It may interest you to know that for my next crime I'll be pinching the pride and joy of the Springfield Museum, the world's largest cubic zirconia.","Uh, you do realize who this is... No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen. Homer, that's our stage manager! It may interest you to know that for my next crime I'll be pinching the pride and joy of the Springfield Museum, the world's largest cubic zirconia.",4.0,1.0
2409,"He's a burglar. Well, Mr. Cat Burglar, you'd like to get in here, wouldn't you? There's just one little problem. Thirty-six years ago some lady gave birth to a man named Homer J. Sim -- Oh my God! Underage kids drinking beer without a permit!",How's that?,"Son, we wanna help you catch that plug-ugly-yegg. Any sign of the burglar yet? How's that? How's that?",4.0,1.0
2433,How do you figure boy?,"Dad, there's more to me than just a catchphrase.","Like what? Obnoxious fad? I'm doing the Conan O'Brien show and I wanna have some intelligent stuff to talk about. Dad, there's more to me than just a catchphrase.",4.0,1.0
2434,"All right, but after Leno I'm all laughed out you know.",Watch the Conan O'Brien show. You'll see.,"Obnoxious fad? I'm doing the Conan O'Brien show and I wanna have some intelligent stuff to talk about. Dad, there's more to me than just a catchphrase. Watch the Conan O'Brien show. You'll see.",4.0,1.0
2459,THAT KWIK-E-MART'S A REAL... .,LET'S HURL A BRICKY-MART!,And he taught me how to play the shenai. Thank you all for the kind praise. WHEN I FIRST ARRIVED YOU WERE ALL SUCH JERKS / BUT NOW I'VE COME TO LOOOVE YOUR QUIRKS/ MAGGIE WITH HER EYES SO BRIGHT / MARGE WITH HAIR BY FRANK LLOYD WRIGHT / LISA CAN PHILOSOPHIZE / BART'S ADEPT AT SPINNING LIES / HOMER'S A DELIGHTFUL FELLA / SORRY 'BOUT THE SALMONELLA. LET'S HURL A BRICKY-MART!,4.0,1.0
2460,Everything really wrapped up nicely. Much quicker than usual.,NOT ME!,Thank you all for the kind praise. WHEN I FIRST ARRIVED YOU WERE ALL SUCH JERKS / BUT NOW I'VE COME TO LOOOVE YOUR QUIRKS/ MAGGIE WITH HER EYES SO BRIGHT / MARGE WITH HAIR BY FRANK LLOYD WRIGHT / LISA CAN PHILOSOPHIZE / BART'S ADEPT AT SPINNING LIES / HOMER'S A DELIGHTFUL FELLA / SORRY 'BOUT THE SALMONELLA. LET'S HURL A BRICKY-MART! NOT ME!,4.0,1.0
2461,"And we've all found happiness... Every one of us. Hey, what's that sound?",I guess we've learned that happiness is wherever you find it.,WHEN I FIRST ARRIVED YOU WERE ALL SUCH JERKS / BUT NOW I'VE COME TO LOOOVE YOUR QUIRKS/ MAGGIE WITH HER EYES SO BRIGHT / MARGE WITH HAIR BY FRANK LLOYD WRIGHT / LISA CAN PHILOSOPHIZE / BART'S ADEPT AT SPINNING LIES / HOMER'S A DELIGHTFUL FELLA / SORRY 'BOUT THE SALMONELLA. LET'S HURL A BRICKY-MART! NOT ME! I guess we've learned that happiness is wherever you find it.,4.0,1.0
2473,"Well that was a big bust... is he really the head of the Kwik-E-Mart? No need to apologize, Apu. It was as much my fault as it was yours. Okay, Apu, I accept your apology.","Thank you, come again.","That's great, because all I need is one. Yes. Yes. Thank you, come again.",4.0,1.0
2493,Inanimate huh? I'll show him inanimate!,"Compadres, it is imperative that we crush the freedom fighters before the start of the rainy season. And remember, a shiny new donkey for whoever brings me the head of Colonel Montoya. Huh? What? And by that I mean, of course, it's time for the Worker of the Week Award. I can't believe we've overlooked this week's winner for so very very long. We simply could not function without his tireless efforts. So, a round of applause for... this inanimate carbon rod.","Clean, clean, pistol, uzi, two kids posing as an adult... Hey, Homer. Except forrrrr... Yeah, how come? Compadres, it is imperative that we crush the freedom fighters before the start of the rainy season. And remember, a shiny new donkey for whoever brings me the head of Colonel Montoya. Huh? What? And by that I mean, of course, it's time for the Worker of the Week Award. I can't believe we've overlooked this week's winner for so very very long. We simply could not function without his tireless efforts. So, a round of applause for... this inanimate carbon rod.",4.0,1.0
2540,"We won! We won! Flanders, we won!","Stan, Stan, he's our boy, if he can't do it, no one ...will.","Wow, these are amazing seats, huh Homer? I'll take two dogs, two sodas and uh two ice cream bars. What the hell happened to my dogs? I want answers. Relax, Homer, I keep tellin' ya, you're my guest. Stan, Stan, he's our boy, if he can't do it, no one ...will.",4.0,1.0
2541,"Losers! Losers! Kiss my big Springfield behind, Shelbyville! I am invincible! Invincible! Ow!","Heh-heh, yeah.","I'll take two dogs, two sodas and uh two ice cream bars. What the hell happened to my dogs? I want answers. Relax, Homer, I keep tellin' ya, you're my guest. Stan, Stan, he's our boy, if he can't do it, no one ...will. Heh-heh, yeah.",4.0,1.0
2551,"Aw, Uncle Homer. Ned, since you've let me spend time with your family, I want you to get to know my family.","Good night, Daddy. Good night, Uncle Homer.","Uh, be careful there, Homer. That is sort of a new table. That's all well and good for sheep, but what are we to do? Now, boys, Mr. Simpson is the guest. He gets to decide what to watch. Good night, Daddy. Good night, Uncle Homer.",4.0,1.0
2561,Yes way.,"No way, Jos̩ !","Homey, I'm very proud of you, but don't you think you're spending too much time with Ned? Your family needs you too. That was you! Sometimes to keep from hurting someone's feelings, we have to say things that aren't exactly... No way, Jos̩ !",4.0,1.0
2576,"Right back atcha, buddy. Now how 'bout that game at the Pitch 'n Putt?","Thank you. Thank you so much, Homer. You really are a you're a true friend.","I think we should leave. Before I get started on today's sermon entitled , ""What Ned Did,"" I'd like to publicly congratulate Homer Simpson on his recent charity work. Let's sacrifice him to our god! C'mon, we did it all the time in the thirties. Thank you. Thank you so much, Homer. You really are a you're a true friend.",4.0,1.0
2582,"Push her down, son.","Uh, it's hard for us to leave when you're standing there, Mom.","Hi, Mom. Eeeeeee!! Think you'll win? Uh, it's hard for us to leave when you're standing there, Mom.",4.0,1.0
2583,"Oh dear God, no.",No one's going anywhere. We're going to clean the whole house from top to bottom.,"Eeeeeee!! Think you'll win? Uh, it's hard for us to leave when you're standing there, Mom. No one's going anywhere. We're going to clean the whole house from top to bottom.",4.0,1.0
2584,I call the basement.,I think you'll find that escape is impossible. Now each one of you take a floor and get started.,"Think you'll win? Uh, it's hard for us to leave when you're standing there, Mom. No one's going anywhere. We're going to clean the whole house from top to bottom. I think you'll find that escape is impossible. Now each one of you take a floor and get started.",4.0,1.0
2588,What's the point of all this cleaning? Are we so vain?,Stop remembering TV and get back to work.,"Amen, Ernie. You're not done. I want you to throw away these old calendars and TV Guides. Shazam! Stop remembering TV and get back to work.",4.0,1.0
2589,"Use only in a well ventilated area. Shove it, buddy.",Wah-wah.,You're not done. I want you to throw away these old calendars and TV Guides. Shazam! Stop remembering TV and get back to work. Wah-wah.,4.0,1.0
2590,Nothing.,"Homer, what's going on down there?","Shazam! Stop remembering TV and get back to work. Wah-wah. Homer, what's going on down there?",4.0,1.0
2591,Okay.,Then stop screaming so loud.,"Stop remembering TV and get back to work. Wah-wah. Homer, what's going on down there? Then stop screaming so loud.",4.0,1.0
2595,"Heh, heh. Stick it to the man. No, wait! We'll call you back! Bart! With ten thousand dollars we'd be millionaires. We could buy all kinds of useful things, like... ... love.",I want the elephant.,"Let's try one more number. Well, hot dog! We have a ""wiener""! Well, all that money sounds mighty tempting, Marty. But I think I'm gonna have to go with the elephant. I want the elephant.",4.0,1.0
2596,"Lisa, go to your room.",You all seem to be forgetting the most important thing. Which is that it's wrong to imprison an animal.,"Well, hot dog! We have a ""wiener""! Well, all that money sounds mighty tempting, Marty. But I think I'm gonna have to go with the elephant. I want the elephant. You all seem to be forgetting the most important thing. Which is that it's wrong to imprison an animal.",4.0,1.0
2612,"Then that's what I'll do, smart guy.",You'll have to raise my allowance to about a thousand dollars a week.,"Nah. He doesn't want to learn and I don't want to teach him. We get along fine. I think they're trying to get some attention. Technically, it's for a giraffe, but I think I can let it out a little. You'll have to raise my allowance to about a thousand dollars a week.",4.0,1.0
2624,Thank you.,You know I really think --,"It's perfect, Dad. Well we really can't offer you any money. We're a non-profit organization. Well, we like to think of it as -- You know I really think --",4.0,1.0
2628,Here's the keys.,"All right, I'll be back in the morning to pick up Stampy.","Dad, I think he's an ivory dealer. His boots are ivory, his hat is ivory, and I'm pretty sure that check is ivory. Dad, you can't do this. Stampy is my friend. I'll take that one, too. All right, I'll be back in the morning to pick up Stampy.",4.0,1.0
2629,I'll just keep these then.,Elephants don't have keys.,"Dad, you can't do this. Stampy is my friend. I'll take that one, too. All right, I'll be back in the morning to pick up Stampy. Elephants don't have keys.",4.0,1.0
2634,"Yes, of course I would. Who wouldn't like that? To be part of the Music Scene...",Even if he killed you and made your teeth into piano keys?,"A female deer. Dad, I can't let you sell him. Stampy and I are friends. Ow. Anyway, I want him to go to that animal refuge. Dad, how would you like to be sold to an ivory dealer? Even if he killed you and made your teeth into piano keys?",4.0,1.0
2635,Huh?,Dad! You're sinking!,"Dad, I can't let you sell him. Stampy and I are friends. Ow. Anyway, I want him to go to that animal refuge. Dad, how would you like to be sold to an ivory dealer? Even if he killed you and made your teeth into piano keys? Dad! You're sinking!",4.0,1.0
2636,"Nah, that's okay. I'm pretty sure I can struggle my way out. First I'll just reach in and pull my legs out. Now I'll pull my arms out with my face...","Get a rope, Bart!","Dad, how would you like to be sold to an ivory dealer? Even if he killed you and made your teeth into piano keys? Dad! You're sinking! Get a rope, Bart!",4.0,1.0
2637,I'm alive! I'm alive. And I owe it all to this feisty feline.,"Thanks, Stampy. Ow!","Even if he killed you and made your teeth into piano keys? Dad! You're sinking! Get a rope, Bart! Thanks, Stampy. Ow!",4.0,1.0
2638,"Oh, I guess it wouldn't be right to sell Stampy after he saved my life. And, the boy seems to have some sort of relationship with him.","Dad, feline means cat. Dad!","Dad! You're sinking! Get a rope, Bart! Thanks, Stampy. Ow! Dad, feline means cat. Dad!",4.0,1.0
2639,"On the other hand, who's to say what's right these days... what with all our modern ideas... and products. All right. We'll give the stupid elephant to the stupid animal refuge.","Thanks, Dad.","Get a rope, Bart! Thanks, Stampy. Ow! Dad, feline means cat. Dad! Thanks, Dad.",4.0,1.0
2640,Mmm. Caramel.,Ow! My hair!,"Thanks, Stampy. Ow! Dad, feline means cat. Dad! Thanks, Dad. Ow! My hair!",4.0,1.0
2646,"It's KURNS, stupid!","So pick, please, me... Mr. Burns.","So much for Plan B. Uh, sure. I've gotta stop fantasizing about Lee Majors. Ah, one more. Hello, Mr... Kurns? I bad want... money now. Me sick. So pick, please, me... Mr. Burns.",4.0,1.0
2647,Disregard.,No it's not.,"Uh, sure. I've gotta stop fantasizing about Lee Majors. Ah, one more. Hello, Mr... Kurns? I bad want... money now. Me sick. So pick, please, me... Mr. Burns. No it's not.",4.0,1.0
2648,The boot kicked Bart. It kicked him right in the butt.,Excellent.,"Hello, Mr... Kurns? I bad want... money now. Me sick. So pick, please, me... Mr. Burns. No it's not. Excellent.",4.0,1.0
2649,"There sure is. Kids, you tried your best and you failed miserably. The lesson is, never try. Right in the butt. That was great.",I think Bart and Lisa are feeling a little upset right now. Isn't there something you'd like to say?,"So pick, please, me... Mr. Burns. No it's not. Excellent. I think Bart and Lisa are feeling a little upset right now. Isn't there something you'd like to say?",4.0,1.0
2653,"Oh, yeah. So good...",I'm okay.,"Just sign here and your son will stand to inherit my entire estate. Dad, Mr. Burns hasn't passed away yet. Well, I -- I'm okay.",4.0,1.0
2654,"Yeah, let's push him down the steps.",Are you thinking what I'm thinking?,"Dad, Mr. Burns hasn't passed away yet. Well, I -- I'm okay. Are you thinking what I'm thinking?",4.0,1.0
2655,How come Bart gets to do that and I can't spend one night lurking in the bushes outside Chef Boyardee's house?,All right.,"Well, I -- I'm okay. Are you thinking what I'm thinking? All right.",4.0,1.0
2659,My secret shame.,"Oh, go eat some flowers.","Homer, say something. Oh yuck, meatloaf! My most hated of all loafs. No! This family stinks. Mr. Burns nurtures my destructive side. I'm suffocating here. Oh, go eat some flowers.",4.0,1.0
2679,"Okay, fine.",Will the jury retire and come to its decision?,"I know you can read my thoughts, Bart. Just a little reminder: if I find out you cut class, your ass is mine. Yes, you heard me. I think words I would never say. Excuse me, your honor. Yes, I'd like to bring something to the court's attention. Give those glasses to the bailiff. Will the jury retire and come to its decision?",4.0,1.0
2683,"So ""if"" we don't all vote the same way, we'll be ""deadlocked"" and have to be ""sequestered"" in the Springfield Palace Hotel.","A conjunction meaning ""in the event that"" or ""on condition that.""","We might as well make it official. If the jury is deadlocked, they're put up in a hotel together so they can't communicate with the outside world. It's when the jury can't agree on a verdict. A conjunction meaning ""in the event that"" or ""on condition that.""",4.0,1.0
2684,"Where we'll get... a free room, free food, free swimming pool, free HBO - Oooh, ""Free Willy!""",Let's vote. My liver is failing.,"If the jury is deadlocked, they're put up in a hotel together so they can't communicate with the outside world. It's when the jury can't agree on a verdict. A conjunction meaning ""in the event that"" or ""on condition that."" Let's vote. My liver is failing.",4.0,1.0
2685,"Uh, how are the rest of you voting? I'm only doing what I think is right. I believe Freddie Quimby should walk out of here a free hotel.","Justice is not a frivolous thing, Simpson. It has little, if anything, to do with a disobedient whale. Now let's vote.","It's when the jury can't agree on a verdict. A conjunction meaning ""in the event that"" or ""on condition that."" Let's vote. My liver is failing. Justice is not a frivolous thing, Simpson. It has little, if anything, to do with a disobedient whale. Now let's vote.",4.0,1.0
2694,"Hee, hee, hee, hee. That is funny.","Homey, you know, it's funny -- both my mother and your father seem pretty lonely.","Homer, you didn't do a very good job frosting Maggie's birthday cake. Hey, hey, hey hey, stop it! I made a special cake for you to ruin. It's over there. It's been great spending time with my family again. I guess the next time I see you won't be until Thanksgiving. Homey, you know, it's funny -- both my mother and your father seem pretty lonely.",4.0,1.0
2695,"Marge, please. Old people don't need companionship. They need to be isolated and studied, so it can be determined what nutrients they have that might be extracted for our personal use.","Yeah. Anyway, maybe they could go to a matinee together, or shopping, or to that room in the library that's always full of old people. ""Periodicals,"" that's it.","Hey, hey, hey hey, stop it! I made a special cake for you to ruin. It's over there. It's been great spending time with my family again. I guess the next time I see you won't be until Thanksgiving. Homey, you know, it's funny -- both my mother and your father seem pretty lonely. Yeah. Anyway, maybe they could go to a matinee together, or shopping, or to that room in the library that's always full of old people. ""Periodicals,"" that's it.",4.0,1.0
2696,Oh.,"Homer, would you please stop reading that Ross Perot pamphlet?!","It's been great spending time with my family again. I guess the next time I see you won't be until Thanksgiving. Homey, you know, it's funny -- both my mother and your father seem pretty lonely. Yeah. Anyway, maybe they could go to a matinee together, or shopping, or to that room in the library that's always full of old people. ""Periodicals,"" that's it. Homer, would you please stop reading that Ross Perot pamphlet?!",4.0,1.0
2713,How dare you call me that?!,"Hey, don't yell at Homer. Just because he's a little slow...","Homer, do you want any cards? Homer? Do you want another card or not? I'm in. Let's see your cards. Hey, don't yell at Homer. Just because he's a little slow...",4.0,1.0
2721,That depends. Is there another way to get this job?,"Oh, you're married?","See that ping sound means the spit was on target. Now you try. Gettin' better! What is your area of expertise? No you can't, Mr. Simpson. No one can. Oh, you're married?",4.0,1.0
